"filename", "language", "JavaScript", "Markdown", "JSON", "JavaScript JSX", "XML", "JSON with Comments", "PostCSS", "comment", "blank", "total"
"a:\projects\club-4k\src\components\templates\p-admin\challenges\challenge.jsx", "JavaScript JSX", 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"a:\projects\club-4k\src\components\templates\p-admin\news\NewsSection.jsx", "JavaScript JSX", 0, 0, 0, 135, 0, 0, 0, 0, 15, 150
"a:\projects\club-4k\src\components\templates\p-user\EditProfile\EditProfile.jsx", "JavaScript JSX", 0, 0, 0, 26, 0, 0, 0, -3, 15, 38
"a:\projects\club-4k\src\components\templates\p-user\challenge\ChallengeDoneBox.jsx", "JavaScript JSX", 0, 0, 0, 5, 0, 0, 0, 0, 0, 5
"a:\projects\club-4k\src\components\templates\p-user\challenge\ChallengeReq.jsx", "JavaScript JSX", 0, 0, 0, 31, 0, 0, 0, 0, 3, 34
"a:\projects\club-4k\src\components\templates\p-user\challenge\ChallengesDone.jsx", "JavaScript JSX", 0, 0, 0, 7, 0, 0, 0, -2, 6, 11
"a:\projects\club-4k\src\components\templates\p-user\challenge\Requests.jsx", "JavaScript JSX", 0, 0, 0, 12, 0, 0, 0, -1, 0, 11
"a:\projects\club-4k\src\components\templates\p-user\index\Challenge.jsx", "JavaScript JSX", 0, 0, 0, 36, 0, 0, 0, 0, 3, 39
"a:\projects\club-4k\src\components\templates\p-user\index\Challenges.jsx", "JavaScript JSX", 0, 0, 0, 16, 0, 0, 0, 0, 0, 16
"a:\projects\club-4k\src\components\templates\p-user\tickets\SendTicket\SendTicket.jsx", "JavaScript JSX", 0, 0, 0, 20, 0, 0, 0, 0, 5, 25
"a:\projects\club-4k\src\components\templates\register-admin\registerAdmin.jsx", "JavaScript JSX", 0, 0, 0, 7, 0, 0, 0, 0, 1, 8
"a:\projects\club-4k\src\components\templates\register\Register.jsx", "JavaScript JSX", 0, 0, 0, 15, 0, 0, 0, 4, 0, 19
"a:\projects\club-4k\src\components\templates\resetPassword\ResetPassword.jsx", "JavaScript JSX", 0, 0, 0, 55, 0, 0, 0, 0, 8, 63
"a:\projects\club-4k\src\hooks\useUser.js", "JavaScript", -1, 0, 0, 0, 0, 0, 0, 0, -4, -5
"a:\projects\club-4k\src\utils\auth.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 3, 3
"a:\projects\club-4k\src\utils\challengeExpiration.js", "JavaScript", 51, 0, 0, 0, 0, 0, 0, 13, 15, 79
"a:\projects\club-4k\src\utils\cleanUpPendingSession.js", "JavaScript", 39, 0, 0, 0, 0, 0, 0, 0, 8, 47
"a:\projects\club-4k\src\utils\getAccessToken.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 0, 2, 25
"a:\projects\club-4k\src\utils\pusherClient.js", "JavaScript", 49, 0, 0, 0, 0, 0, 0, 2, 10, 61
"a:\projects\club-4k\src\utils\pusherServer.js", "JavaScript", 35, 0, 0, 0, 0, 0, 0, 2, 9, 46
"a:\projects\club-4k\src\utils\s3.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 0, 7, 36
"Total", "-", 2272, 43, 5741, 2970, 5, 7, 5, 122, 662, 11827
